uf,nome_cientifico,subespecie,nome_cientifico_subsp,categoria,subsp_tf
SP,Eptesicus taddeii,NA,Eptesicus taddeii,VU,FALSE
BA,Eretmochelys imbricata,NA,Eretmochelys imbricata,CR,FALSE
Brasil,Eretmochelys imbricata,NA,Eretmochelys imbricata,CR,FALSE
ES,Eretmochelys imbricata,NA,Eretmochelys imbricata,EN,FALSE
RJ,Eretmochelys imbricata,NA,Eretmochelys imbricata,VU,FALSE
SP,Eretmochelys imbricata,NA,Eretmochelys imbricata,CR,FALSE
SP,Erythrodiplax acantha,NA,Erythrodiplax acantha,CR,FALSE
RJ,Erythrodiplax chromoptera,NA,Erythrodiplax chromoptera,EW,FALSE
SP,Erythrodiplax gomesi,NA,Erythrodiplax gomesi,VU,FALSE
SP,Erythrodiplax luteofrons,NA,Erythrodiplax luteofrons,CR,FALSE
PA,Erythrolamprus maryellenae,NA,Erythrolamprus maryellenae,VU,FALSE
BA,Eubalaena australis,NA,Eubalaena australis,EN,FALSE
Brasil,Eubalaena australis,NA,Eubalaena australis,EN,FALSE
RJ,Eubalaena australis,NA,Eubalaena australis,VU,FALSE
ES,Eubalena australis,NA,Eubalena australis,EN,FALSE
SP,Eudistoma clavatum,NA,Eudistoma clavatum,CR,FALSE
RJ,Eudocimus ruber,NA,Eudocimus ruber,CR,FALSE
PA,Eudolichotis lacerta,NA,Eudolichotis lacerta,EN,FALSE
MG,Eufriesea aeneiventris,NA,Eufriesea aeneiventris,EN,FALSE
MG,Eugerres brasilianus,NA,Eugerres brasilianus,CR,FALSE
MG,Euglossa decorata,decorata,Euglossa decorata decorata,EN,TRUE
SP,Eunice sebastiani,NA,Eunice sebastiani,EN,FALSE
MG,Euphonia chalybea,NA,Euphonia chalybea,EN,FALSE
SP,Eurhopalothrix lenkoi,NA,Eurhopalothrix lenkoi,VU,FALSE
BA,Eurolophosaurus amathites,NA,Eurolophosaurus amathites,VU,FALSE
Brasil,Eurolophosaurus amathites,NA,Eurolophosaurus amathites,EN,FALSE
BA,Eurolophosaurus divaricatus,NA,Eurolophosaurus divaricatus,VU,FALSE
BA,Eurolophosaurus sp.n.1,NA,Eurolophosaurus sp.n.1,VU,FALSE
BA,Eurolophosaurus sp.n.2,NA,Eurolophosaurus sp.n.2,EN,FALSE
Brasil,Euryoryzomys lamia,NA,Euryoryzomys lamia,EN,FALSE
MG,Euryoryzomys lamia,NA,Euryoryzomys lamia,CR,FALSE
SP,Eurytellina punicea,NA,Eurytellina punicea,VU,FALSE
SP,Eurythoe complanata,NA,Eurythoe complanata,VU,FALSE
ES,Eurytides iphitas,NA,Eurytides iphitas,CR,FALSE
BA,Euscarthmus rufomarginatus,NA,Euscarthmus rufomarginatus,VU,FALSE
MG,Euscarthmus rufomarginatus,NA,Euscarthmus rufomarginatus,CR,FALSE
PA,Euscarthmus rufomarginatus,NA,Euscarthmus rufomarginatus,VU,FALSE
SP,Euscarthmus rufomarginatus,rufomarginatus,Euscarthmus rufomarginatus rufomarginatus,EW,TRUE
SP,Euvola ziczac,NA,Euvola ziczac,VU,FALSE
SP,Exomalopsis atlantica,atlantica,Exomalopsis atlantica atlantica,CR,TRUE
MG,Falco deiroleucus,NA,Falco deiroleucus,CR,FALSE
RJ,Falco deiroleucus,NA,Falco deiroleucus,EW,FALSE
SP,Falco rufigularis,ophryophanes,Falco rufigularis ophryophanes,VU,TRUE
MG,Fimoscolex sporadochaetus,NA,Fimoscolex sporadochaetus,CR,FALSE
ES,Formicarius colma,NA,Formicarius colma,VU,FALSE
MG,Formicarius colma,NA,Formicarius colma,VU,FALSE
Brasil,Formicivora erythronotos,NA,Formicivora erythronotos,CR,FALSE
RJ,Formicivora erythronotus,NA,Formicivora erythronotus,VU,FALSE
BA,Formicivora grantsaui,NA,Formicivora grantsaui,EN,FALSE
Brasil,Formicivora grantsaui,NA,Formicivora grantsaui,EN,FALSE
Brasil,Formicivora littoralis,NA,Formicivora littoralis,EN,FALSE
RJ,Formicivora littoralis,NA,Formicivora littoralis,VU,FALSE
SP,Formicivora melanogaster,melanogaster,Formicivora melanogaster melanogaster,EN,TRUE
Brasil,Formicivora paludicola,NA,Formicivora paludicola,CR,FALSE
SP,Formicivora paludicola,NA,Formicivora paludicola,CR,FALSE
SP,Fossula fossiculifera,NA,Fossula fossiculifera,EN,FALSE
Brasil,Fregata ariel,NA,Fregata ariel,CR,FALSE
ES,Fregata ariel,NA,Fregata ariel,CR,FALSE
Brasil,Fregata minor,NA,Fregata minor,CR,FALSE
ES,Fregata minor,NA,Fregata minor,CR,FALSE
SP,Furcochrysa allata,NA,Furcochrysa allata,CR,FALSE
Brasil,Furipterus horrens,NA,Furipterus horrens,VU,FALSE
SP,Furipterus horrens,NA,Furipterus horrens,VU,FALSE
SP,Gallinago undulata,gigantea,Gallinago undulata gigantea,VU,TRUE
MG,Genidens genidens,NA,Genidens genidens,CR,FALSE
SP,Geoplana chiuna,NA,Geoplana chiuna,VU,FALSE
SP,Geoplana hina,NA,Geoplana hina,VU,FALSE
SP,Geoplana livia,NA,Geoplana livia,VU,FALSE
SP,Geoplana pavani,NA,Geoplana pavani,VU,FALSE
SP,Geoplana picta,NA,Geoplana picta,VU,FALSE
SP,Geoplana poca,NA,Geoplana poca,VU,FALSE
SP,Geoplana regia,NA,Geoplana regia,VU,FALSE
SP,Geoplana toriba,NA,Geoplana toriba,VU,FALSE
BA,Geositta poeciloptera,NA,Geositta poeciloptera,EN,FALSE
Brasil,Geositta poeciloptera,NA,Geositta poeciloptera,EN,FALSE
MG,Geositta poeciloptera,NA,Geositta poeciloptera,EN,FALSE
SP,Geositta poeciloptera,NA,Geositta poeciloptera,EW,FALSE
BA,Geotrygon violacea,NA,Geotrygon violacea,EN,FALSE
ES,Geotrygon violacea,NA,Geotrygon violacea,CR,FALSE
MG,Geotrygon violacea,NA,Geotrygon violacea,VU,FALSE
SP,Geotrygon violacea,violacea,Geotrygon violacea violacea,EN,TRUE
ES,Ginglymostoma cirratum,NA,Ginglymostoma cirratum,VU,FALSE
PA,Ginglymostoma cirratum,NA,Ginglymostoma cirratum,VU,FALSE
SP,Ginglymostoma cirratum,NA,Ginglymostoma cirratum,CR,FALSE
SP,Girardia arndti,NA,Girardia arndti,VU,FALSE
SP,Girardia hypoglauca,NA,Girardia hypoglauca,VU,FALSE
SP,Girardia nonatoi,NA,Girardia nonatoi,VU,FALSE
ES,Glaucidium minutissimum,NA,Glaucidium minutissimum,EN,FALSE
MG,Glaucidium minutissimum,NA,Glaucidium minutissimum,VU,FALSE
BA,Glaucis dohrnii,NA,Glaucis dohrnii,CR,FALSE
Brasil,Glaucis dohrnii,NA,Glaucis dohrnii,EN,FALSE
ES,Glaucis dohrnii,NA,Glaucis dohrnii,CR,FALSE
MG,Glaucis dohrnii,NA,Glaucis dohrnii,CR,FALSE
Brasil,Glyphonycteris behnii,NA,Glyphonycteris behnii,VU,FALSE
MG,Glyphonycteris behnii,NA,Glyphonycteris behnii,VU,FALSE
MG,Glyphonycteris sylvestris,NA,Glyphonycteris sylvestris,VU,FALSE
ES,Glyphorinchus spirurus,NA,Glyphorinchus spirurus,VU,FALSE
SP,Gnamptogenys nana,NA,Gnamptogenys nana,VU,FALSE
Brasil,Gonatodes tapajonicus,NA,Gonatodes tapajonicus,EN,FALSE
RJ,Goniopsis cruenta,NA,Goniopsis cruenta,VU,FALSE
SP,Gonyostomus insularis,NA,Gonyostomus insularis,EN,FALSE
Brasil,Grallaria varia,distincta,Grallaria varia distincta,VU,TRUE
Brasil,Grallaria varia,intercedens,Grallaria varia intercedens,VU,TRUE
MG,Grallaria varia,NA,Grallaria varia,CR,FALSE
ES,Gramma brasiliensis,NA,Gramma brasiliensis,VU,FALSE
SP,Gramma brasiliensis,NA,Gramma brasiliensis,VU,FALSE
Brasil,Guaruba guarouba,NA,Guaruba guarouba,VU,FALSE
PA,Guaruba guarouba,NA,Guaruba guarouba,VU,FALSE
Brasil,Gubernatrix cristata,NA,Gubernatrix cristata,CR,FALSE
Brasil,Gyldenstolpia planaltensis,NA,Gyldenstolpia planaltensis,EN,FALSE
BA,Gymnodactylus vanzolini,NA,Gymnodactylus vanzolini,EN,FALSE
SP,Gymnura altavela,NA,Gymnura altavela,CR,FALSE
BA,Haematopus palliatus,NA,Haematopus palliatus,VU,FALSE
SP,Haematopus palliatus,palliatus,Haematopus palliatus palliatus,EN,TRUE
Brasil,Harmonicon cerberus,NA,Harmonicon cerberus,CR,FALSE
BA,Harpia harpyja,NA,Harpia harpyja,CR,FALSE
Brasil,Harpia harpyja,NA,Harpia harpyja,VU,FALSE
ES,Harpia harpyja,NA,Harpia harpyja,CR,FALSE
MG,Harpia harpyja,NA,Harpia harpyja,CR,FALSE
RJ,Harpia harpyja,NA,Harpia harpyja,EN,FALSE
SP,Harpia harpyja,NA,Harpia harpyja,EW,FALSE
MG,Harpyhaliaetus coronatus,NA,Harpyhaliaetus coronatus,EN,FALSE
PA,Harpyhaliaetus coronatus,NA,Harpyhaliaetus coronatus,VU,FALSE
SP,Harttia absaberi,NA,Harttia absaberi,EN,FALSE
SP,Harttia gracilis,NA,Harttia gracilis,EN,FALSE
MG,Harttia leiopleura,NA,Harttia leiopleura,VU,FALSE
SP,Harttia loricariformis,NA,Harttia loricariformis,VU,FALSE
MG,Harttia novalimensis,NA,Harttia novalimensis,VU,FALSE
MG,Harttia torrenticola,NA,Harttia torrenticola,VU,FALSE
SP,Hastula cinerea,NA,Hastula cinerea,VU,FALSE
SP,Heliactin bilophus,NA,Heliactin bilophus,CR,FALSE
ES,Heliconius nattereri,NA,Heliconius nattereri,VU,FALSE
RJ,Heliornis fulica,NA,Heliornis fulica,VU,FALSE
SP,Heliornis fulica,NA,Heliornis fulica,EN,FALSE
RJ,Hemipsilichthys garbei,NA,Hemipsilichthys garbei,EN,FALSE
SP,Hemipsilichthys gobio,NA,Hemipsilichthys gobio,EN,FALSE
BA,Hemitriccus furcatus,NA,Hemitriccus furcatus,EN,FALSE
Brasil,Hemitriccus furcatus,NA,Hemitriccus furcatus,VU,FALSE
SP,Hemitriccus furcatus,NA,Hemitriccus furcatus,VU,FALSE
Brasil,Hemitriccus griseipectus,naumburgae,Hemitriccus griseipectus naumburgae,VU,TRUE
Brasil,Hemitriccus kaempferi,NA,Hemitriccus kaempferi,VU,FALSE
Brasil,Hemitriccus mirandae,NA,Hemitriccus mirandae,VU,FALSE
RJ,Hemodietus passareli,NA,Hemodietus passareli,VU,FALSE
MG,Henochilus wheatlandii,NA,Henochilus wheatlandii,CR,FALSE
SP,Heptapterus multiradiatus,NA,Heptapterus multiradiatus,CR(RE),FALSE
PA,Heraclides chiansiades,maroni,Heraclides chiansiades maroni,VU,TRUE
PA,Heraclides chiansiades,mossi,Heraclides chiansiades mossi,VU,TRUE
PA,Heraclides chiansiades,NA,Heraclides chiansiades,EN,FALSE
PA,Heraclides garleppi,lecerfi,Heraclides garleppi lecerfi,EN,TRUE
ES,Heraclides himeros,himeros,Heraclides himeros himeros,CR,TRUE
Brasil,Herpsilochmus pileatus,NA,Herpsilochmus pileatus,VU,FALSE
MG,Heteragrion obsoletum,NA,Heteragrion obsoletum,EN,FALSE
MG,Heteragrion petiense,NA,Heteragrion petiense,VU,FALSE
SP,Heteroconger longissimus,NA,Heteroconger longissimus,VU,FALSE
Brasil,Heterodactylus lundii,NA,Heterodactylus lundii,VU,FALSE
BA,Heterodactylus septentrionalis,NA,Heterodactylus septentrionalis,CR,FALSE
Brasil,Heterodactylus septentrionalis,NA,Heterodactylus septentrionalis,EN,FALSE
MG,Hexantheda missionica,NA,Hexantheda missionica,EN,FALSE
SP,Higginsia strigilata,NA,Higginsia strigilata,EW,FALSE
RJ,Hiphocampus erectus,NA,Hiphocampus erectus,VU,FALSE
RJ,Hiphocampus reidi,NA,Hiphocampus reidi,VU,FALSE
ES,Hippocampus erectus,NA,Hippocampus erectus,VU,FALSE
SP,Hippocampus patagonicus,NA,Hippocampus patagonicus,EN,FALSE
ES,Hippocampus reidi,NA,Hippocampus reidi,VU,FALSE
SP,Hippocampus reidi,NA,Hippocampus reidi,EN,FALSE
SP,Holacanthus ciliaris,NA,Holacanthus ciliaris,VU,FALSE
SP,Holacanthus tricolor,NA,Holacanthus tricolor,VU,FALSE
Brasil,Holoaden bradei,NA,Holoaden bradei,CR,FALSE
MG,Holoaden bradei,NA,Holoaden bradei,CR,FALSE
RJ,Holoaden bradei,NA,Holoaden bradei,VU,FALSE
Brasil,Holoaden luederwaldti,NA,Holoaden luederwaldti,EN,FALSE
RJ,Holoaden luederwaldti,NA,Holoaden luederwaldti,VU,FALSE
SP,Homodiaetus graciosa,NA,Homodiaetus graciosa,EN,FALSE
Brasil,Homonota uruguayensis,NA,Homonota uruguayensis,VU,FALSE
ES,Hoplometopus antillensis,NA,Hoplometopus antillensis,VU,FALSE
SP,Hyalella caeca,NA,Hyalella caeca,VU,FALSE
ES,Hyalinobatrachium eurygnathum,NA,Hyalinobatrachium eurygnathum,VU,FALSE
ES,Hyalinobatrachium uranoscopum,NA,Hyalinobatrachium uranoscopum,VU,FALSE
ES,Hyaliris fiammeta,NA,Hyaliris fiammeta,CR,FALSE
ES,Hyaliris leptalina,NA,Hyaliris leptalina,VU,FALSE
MG,Hyalyris fiammetta,NA,Hyalyris fiammetta,CR,FALSE
MG,Hyalyris leptalina,NA,Hyalyris leptalina,VU,FALSE
Brasil,Hydrodynastes melanogigas,NA,Hydrodynastes melanogigas,EN,FALSE
BA,Hydromedusa maximiliani,NA,Hydromedusa maximiliani,EN,FALSE
ES,Hydromedusa maximiliani,NA,Hydromedusa maximiliani,VU,FALSE
MG,Hydromedusa maximiliani,NA,Hydromedusa maximiliani,VU,FALSE
SP,Hydropsalis anomala,NA,Hydropsalis anomala,EW,FALSE
Brasil,Hydropsalis candicans,NA,Hydropsalis candicans,VU,FALSE
SP,Hydropsalis candicans,NA,Hydropsalis candicans,EW,FALSE
SP,Hydropsalis maculicaudus,NA,Hydropsalis maculicaudus,EN,FALSE
ES,Hyla ruschii,NA,Hyla ruschii,VU,FALSE
Brasil,Hylexetastes brigidai,NA,Hylexetastes brigidai,VU,FALSE
SP,Hylocharis sapphirina,NA,Hylocharis sapphirina,EN,FALSE
SP,Hylodes sazimai,NA,Hylodes sazimai,VU,FALSE
Brasil,Hylopezus paraensis,NA,Hylopezus paraensis,VU,FALSE
Brasil,Hylophilus ochraceiceps,rubrifrons,Hylophilus ochraceiceps rubrifrons,VU,TRUE
PA,Hypancistrus zebra,NA,Hypancistrus zebra,VU,FALSE
SP,Hyphessobrycon duragenys,NA,Hyphessobrycon duragenys,EN,FALSE
RJ,Hyphessobrycon flammeus,NA,Hyphessobrycon flammeus,VU,FALSE
MG,Hypocephalus armatus,NA,Hypocephalus armatus,EN,FALSE
Brasil,Hypocnemis ochrogyna,NA,Hypocnemis ochrogyna,VU,FALSE
ES,Hypoleria fallens,NA,Hypoleria fallens,EN,FALSE
MG,Hypoleria fallens,NA,Hypoleria fallens,VU,FALSE
PA,Hypoleria lavinia,mulviana,Hypoleria lavinia mulviana,EN,TRUE
SP,Hypomasticus thayeri,NA,Hypomasticus thayeri,EN,FALSE
SP,Hyporthodus nigritus,NA,Hyporthodus nigritus,EN,FALSE
SP,Hyporthodus niveatus,NA,Hyporthodus niveatus,EN,FALSE
MG,Hypsiboas beckeri,NA,Hypsiboas beckeri,VU,FALSE
Brasil,Hypsiboas curupi,NA,Hypsiboas curupi,VU,FALSE
Brasil,Hypsiboas cymbalum,NA,Hypsiboas cymbalum,CR(PEX),FALSE
SP,Hypsiboas cymbalum,NA,Hypsiboas cymbalum,EW,FALSE
Brasil,Hypsiboas semiguttatus,NA,Hypsiboas semiguttatus,EN,FALSE
MG,Hypsiboas stenocephalus,NA,Hypsiboas stenocephalus,VU,FALSE
Brasil,Ianduba paubrasil,NA,Ianduba paubrasil,EN,FALSE
MG,Iandumoema uai,NA,Iandumoema uai,VU,FALSE
SP,Ibycter americanus,NA,Ibycter americanus,EW,FALSE
ES,Idiogomphoides ictinius,NA,Idiogomphoides ictinius,CR,FALSE
Brasil,Inia geoffrensis,NA,Inia geoffrensis,EN,FALSE
BA,Iodopleura pipra,NA,Iodopleura pipra,VU,FALSE
Brasil,Iodopleura pipra,NA,Iodopleura pipra,EN,FALSE
Brasil,Iodopleura pipra,leucopygia,Iodopleura pipra leucopygia,CR,TRUE
Brasil,Iodopleura pipra,pipra,Iodopleura pipra pipra,EN,TRUE
MG,Iodopleura pipra,NA,Iodopleura pipra,CR,FALSE
SP,Iodopleura pipra,pipra,Iodopleura pipra pipra,EN,TRUE
Brasil,Ischnocnema manezinho,NA,Ischnocnema manezinho,VU,FALSE
BA,Ischnocnema verrucosa,NA,Ischnocnema verrucosa,EN,FALSE
Brasil,Isoctenus corymbus,NA,Isoctenus corymbus,CR,FALSE
PA,Isogomphodon oxyrhynchus,NA,Isogomphodon oxyrhynchus,CR,FALSE
SP,Issoca jandaia,NA,Issoca jandaia,VU,FALSE
RJ,Ituglanis parahybae,NA,Ituglanis parahybae,VU,FALSE
MG,Jabiru mycteria,NA,Jabiru mycteria,EN,FALSE
BA,Jacamaralcyon tridactyla,NA,Jacamaralcyon tridactyla,CR,FALSE
RJ,Jacamaralcyon tridactyla,NA,Jacamaralcyon tridactyla,VU,FALSE
SP,Jacamaralcyon tridactyla,NA,Jacamaralcyon tridactyla,EW,FALSE
Brasil,Juscelinomys candango,NA,Juscelinomys candango,CR(PEX),FALSE
ES,Kannabateomys amblyonyx,NA,Kannabateomys amblyonyx,CR,FALSE
RJ,Kannabateomys amblyonyx,NA,Kannabateomys amblyonyx,VU,FALSE
MG,Kentropyx paulensis,NA,Kentropyx paulensis,VU,FALSE
SP,Kentropyx paulensis,NA,Kentropyx paulensis,EN,FALSE
Brasil,Kentropyx vanzoi,NA,Kentropyx vanzoi,VU,FALSE
Brasil,Kerodon acrobata,NA,Kerodon acrobata,VU,FALSE
Brasil,Kerodon rupestris,NA,Kerodon rupestris,VU,FALSE
RJ,Krononichthys heyland,NA,Krononichthys heyland,VU,FALSE
BA,Lachesis muta,NA,Lachesis muta,VU,FALSE
ES,Lachesis muta,NA,Lachesis muta,VU,FALSE
RJ,Lachesis muta,rhombeata,Lachesis muta rhombeata,EN,TRUE
Brasil,Lagothrix cana,cana,Lagothrix cana cana,EN,TRUE
Brasil,Lagothrix lagothricha,NA,Lagothrix lagothricha,VU,FALSE
Brasil,Lagothrix poeppigii,NA,Lagothrix poeppigii,VU,FALSE
ES,Lampronycteris brachyotis,NA,Lampronycteris brachyotis,VU,FALSE
BA,Laniisoma elegans,NA,Laniisoma elegans,EN,FALSE
ES,Laniisoma elegans,NA,Laniisoma elegans,VU,FALSE
MG,Laniisoma elegans,NA,Laniisoma elegans,VU,FALSE
SP,Laniisoma elegans,NA,Laniisoma elegans,VU,FALSE
BA,Laniocera hypopyrra,NA,Laniocera hypopyrra,VU,FALSE
ES,Laniocera hypopyrra,NA,Laniocera hypopyrra,CR,FALSE
SP,Lanthanomelissa betinae,NA,Lanthanomelissa betinae,VU,FALSE
SP,Lanthanomelissa clementis,NA,Lanthanomelissa clementis,VU,FALSE
RJ,Larus maculipennis,NA,Larus maculipennis,EW,FALSE
SP,Laterallus xenopterus,NA,Laterallus xenopterus,CR,FALSE
PA,Leila esula,NA,Leila esula,VU,FALSE
SP,Leodesmus yporangae,NA,Leodesmus yporangae,EN,FALSE
Brasil,Leontopithecus caissara,NA,Leontopithecus caissara,EN,FALSE
SP,Leontopithecus caissara,NA,Leontopithecus caissara,CR,FALSE
BA,Leontopithecus chrysomelas,NA,Leontopithecus chrysomelas,EN,FALSE
Brasil,Leontopithecus chrysomelas,NA,Leontopithecus chrysomelas,EN,FALSE
Brasil,Leontopithecus chrysopygus,NA,Leontopithecus chrysopygus,EN,FALSE
SP,Leontopithecus chrysopygus,NA,Leontopithecus chrysopygus,EN,FALSE
Brasil,Leontopithecus rosalia,NA,Leontopithecus rosalia,EN,FALSE
RJ,Leontopithecus rosalia,NA,Leontopithecus rosalia,EN,FALSE
MG,Leopardus braccatus,NA,Leopardus braccatus,EN,FALSE
Brasil,Leopardus colocolo,NA,Leopardus colocolo,VU,FALSE
Brasil,Leopardus geoffroyi,NA,Leopardus geoffroyi,VU,FALSE
BA,Leopardus guttulus,NA,Leopardus guttulus,EN,FALSE
Brasil,Leopardus guttulus,NA,Leopardus guttulus,VU,FALSE
SP,Leopardus guttulus,NA,Leopardus guttulus,VU,FALSE
BA,Leopardus pardalis,NA,Leopardus pardalis,VU,FALSE
ES,Leopardus pardalis,NA,Leopardus pardalis,VU,FALSE
MG,Leopardus pardalis,NA,Leopardus pardalis,VU,FALSE
RJ,Leopardus pardalis,NA,Leopardus pardalis,VU,FALSE
SP,Leopardus pardalis,NA,Leopardus pardalis,VU,FALSE
BA,Leopardus tigrinus,NA,Leopardus tigrinus,VU,FALSE
Brasil,Leopardus tigrinus,NA,Leopardus tigrinus,EN,FALSE
ES,Leopardus tigrinus,NA,Leopardus tigrinus,VU,FALSE
MG,Leopardus tigrinus,NA,Leopardus tigrinus,VU,FALSE
BA,Leopardus wiedii,NA,Leopardus wiedii,EN,FALSE
Brasil,Leopardus wiedii,NA,Leopardus wiedii,VU,FALSE
ES,Leopardus wiedii,NA,Leopardus wiedii,VU,FALSE
MG,Leopardus wiedii,NA,Leopardus wiedii,EN,FALSE
RJ,Leopardus wiedii,NA,Leopardus wiedii,VU,FALSE
SP,Leopardus wiedii,NA,Leopardus wiedii,EN,FALSE
BA,Lepidochelys olivacea,NA,Lepidochelys olivacea,EN,FALSE
Brasil,Lepidochelys olivacea,NA,Lepidochelys olivacea,EN,FALSE
ES,Lepidochelys olivacea,NA,Lepidochelys olivacea,EN,FALSE
SP,Lepidochelys olivacea,NA,Lepidochelys olivacea,EN,FALSE
BA,Lepidocolaptes wagleri,NA,Lepidocolaptes wagleri,EN,FALSE
Brasil,Lepidocolaptes wagleri,NA,Lepidocolaptes wagleri,EN,FALSE
Brasil,Lepidothrix iris,NA,Lepidothrix iris,EN,FALSE
Brasil,Lepidothrix iris,iris,Lepidothrix iris iris,EN,TRUE
Brasil,Lepidothrix vilasboasi,NA,Lepidothrix vilasboasi,VU,FALSE
ES,Leporinus thayeri,NA,Leporinus thayeri,VU,FALSE
MG,Leporinus thayeri,NA,Leporinus thayeri,CR,FALSE
BA,Leposoma annectans,NA,Leposoma annectans,VU,FALSE
Brasil,Leposoma annectans,NA,Leposoma annectans,VU,FALSE
Brasil,Leposoma baturitensis,NA,Leposoma baturitensis,EN,FALSE
BA,Leposoma nanodactylus,NA,Leposoma nanodactylus,EN,FALSE
Brasil,Leposoma nanodactylus,NA,Leposoma nanodactylus,EN,FALSE
BA,Leposoma puk,NA,Leposoma puk,EN,FALSE
Brasil,Leposoma puk,NA,Leposoma puk,EN,FALSE
BA,Leposoma sinepollex,NA,Leposoma sinepollex,EN,FALSE
Brasil,Leposternon kisteumacheri,NA,Leposternon kisteumacheri,VU,FALSE
Brasil,Leposternon octostegum,NA,Leposternon octostegum,EN,FALSE
Brasil,Leposternon scutigerum,NA,Leposternon scutigerum,EN,FALSE
ES,Leptagrion acutum,NA,Leptagrion acutum,CR,FALSE
MG,Leptagrion bocainense,NA,Leptagrion bocainense,VU,FALSE
SP,Leptagrion bocainense,NA,Leptagrion bocainense,CR,FALSE
ES,Leptagrion capixabae,NA,Leptagrion capixabae,CR,FALSE
SP,Leptanilloides anae,NA,Leptanilloides anae,VU,FALSE
SP,Leptanilloides atlantica,NA,Leptanilloides atlantica,VU,FALSE
Brasil,Leptasthenura platensis,NA,Leptasthenura platensis,CR,FALSE
Brasil,Leptodon forbesi,NA,Leptodon forbesi,EN,FALSE
SP,Leptolebias aureoguttatus,NA,Leptolebias aureoguttatus,EN,FALSE
RJ,Leptolebias citrinipinnis,NA,Leptolebias citrinipinnis,EN,FALSE
RJ,Leptolebias cruzi,NA,Leptolebias cruzi,CR,FALSE
RJ,Leptolebias fluminensis,NA,Leptolebias fluminensis,CR,FALSE
RJ,Leptolebias fractifasciatus,NA,Leptolebias fractifasciatus,VU,FALSE
SP,Leptolebias itanhaensis,NA,Leptolebias itanhaensis,CR,FALSE
RJ,Leptolebias marmoratus,NA,Leptolebias marmoratus,EW,FALSE
RJ,Leptolebias minimus,NA,Leptolebias minimus,VU,FALSE
RJ,Leptolebias nanus,NA,Leptolebias nanus,VU,FALSE
RJ,Leptolebias sandrii,NA,Leptolebias sandrii,EW,FALSE
SP,Leucochrysa interata,interata,Leucochrysa interata interata,CR,TRUE
SP,Leucochrysa parallela,parallela,Leucochrysa parallela parallela,CR,TRUE
RJ,Leucopternis lacernulata,NA,Leucopternis lacernulata,VU,FALSE
MG,Leucopternis lacernulatus,NA,Leucopternis lacernulatus,CR,FALSE
ES,Leucopternis polionota,NA,Leucopternis polionota,VU,FALSE
MG,Leucopternis polionotus,NA,Leucopternis polionotus,CR,FALSE
ES,Lichonycteris obscura,NA,Lichonycteris obscura,VU,FALSE
Brasil,Limnodromus griseus,NA,Limnodromus griseus,CR,FALSE
Brasil,Liolaemus arambarensis,NA,Liolaemus arambarensis,EN,FALSE
Brasil,Liolaemus lutzae,NA,Liolaemus lutzae,CR,FALSE
RJ,Liolaemus lutzae,NA,Liolaemus lutzae,VU,FALSE
Brasil,Liolaemus occipitalis,NA,Liolaemus occipitalis,VU,FALSE
MG,Lionycteris spurrelli,NA,Lionycteris spurrelli,EN,FALSE
PA,Liophis meridionalis,NA,Liophis meridionalis,VU,FALSE
BA,Lipaugus lanioides,NA,Lipaugus lanioides,EN,FALSE
RJ,Lipaugus lanioides,NA,Lipaugus lanioides,VU,FALSE
SP,Lipaugus lanioides,NA,Lipaugus lanioides,VU,FALSE
BA,Lipaugus vociferans,NA,Lipaugus vociferans,VU,FALSE
ES,Lipaugus vociferans,NA,Lipaugus vociferans,EN,FALSE
SP,Listrura camposi,NA,Listrura camposi,CR,FALSE
RJ,Listrura nematopteryx,NA,Listrura nematopteryx,EN,FALSE
SP,Littoraria angulifera,NA,Littoraria angulifera,VU,FALSE
RJ,Littorina angulifera,NA,Littorina angulifera,VU,FALSE
MG,Lonchophylla bokermanni,NA,Lonchophylla bokermanni,EN,FALSE
RJ,Lonchophylla bokermanni,NA,Lonchophylla bokermanni,VU,FALSE
Brasil,Lonchophylla dekeyseri,NA,Lonchophylla dekeyseri,EN,FALSE
MG,Lonchophylla dekeyseri,NA,Lonchophylla dekeyseri,EN,FALSE
SP,Lonchophylla peracchii,NA,Lonchophylla peracchii,VU,FALSE
BA,Lonchorhina aurita,NA,Lonchorhina aurita,EN,FALSE
Brasil,Lonchorhina aurita,NA,Lonchorhina aurita,VU,FALSE
BA,Lontra longicaudis,NA,Lontra longicaudis,VU,FALSE
MG,Lontra longicaudis,NA,Lontra longicaudis,VU,FALSE
SP,Lontra longicaudis,NA,Lontra longicaudis,VU,FALSE
SP,Lopholatilus villarii,NA,Lopholatilus villarii,EN,FALSE
Brasil,Lophornis gouldii,NA,Lophornis gouldii,VU,FALSE
SP,Lophornis magnificus,NA,Lophornis magnificus,EN,FALSE
SP,Lutjanus cyanopterus,NA,Lutjanus cyanopterus,EN,FALSE
RJ,Lutreolina crassicaudata,NA,Lutreolina crassicaudata,CR,FALSE
BA,Lycalopex vetulus,NA,Lycalopex vetulus,VU,FALSE
Brasil,Lycalopex vetulus,NA,Lycalopex vetulus,VU,FALSE
SP,Lycalopex vetulus,NA,Lycalopex vetulus,VU,FALSE
MG,Lygromma ybyguara,NA,Lygromma ybyguara,VU,FALSE
SP,Mabuya caissara,NA,Mabuya caissara,EN,FALSE
SP,Mabuya guaporicola,NA,Mabuya guaporicola,EN,FALSE
