uf,nome_cientifico,subespecie,nome_cientifico_subsp,categoria,subsp_tf,sinonimo_ou_erro
SP,Philodryas agassizii,NA,Philodryas agassizii,EN,FALSE,NA
SP,Philodryas arnaldoi,NA,Philodryas arnaldoi,EN,FALSE,NA
Brasil,Philodryas livida,NA,Philodryas livida,VU,FALSE,NA
SP,Philodryas livida,NA,Philodryas livida,EN,FALSE,NA
MG,Philodryas oligolepis,NA,Philodryas oligolepis,CR,FALSE,NA
PA,Phimophis guianensis,NA,Phimophis guianensis,EN,FALSE,NA
Brasil,Phlegopsis nigromaculata,confinis,Phlegopsis nigromaculata confinis,VU,TRUE,NA
Brasil,Phlegopsis nigromaculata,paraensis,Phlegopsis nigromaculata paraensis,VU,TRUE,NA
PA,Phlegopsis nigromaculata,paraensis,Phlegopsis nigromaculata paraensis,EN,TRUE,NA
SP,Phleocryptes melanops,melanops,Phleocryptes melanops melanops,EN,TRUE,NA
BA,Phoebetria fusca,NA,Phoebetria fusca,VU,FALSE,NA
SC,Phrynomedusa appendiculata,NA,Phrynomedusa appendiculata,EN,FALSE,NA
SP,Phrynomedusa fimbriata,NA,Phrynomedusa fimbriata,EW,FALSE,NA
ES,Phrynomedusa marginata,NA,Phrynomedusa marginata,EN,FALSE,NA
SP,Phrynomedusa vanzolinii,NA,Phrynomedusa vanzolinii,EW,FALSE,NA
RJ,Phrynops hogei,NA,Phrynops hogei,VU,FALSE,NA
SC,Phrynops williamsi,NA,Phrynops williamsi,VU,FALSE,NA
MG,Phylloderma stenops,NA,Phylloderma stenops,EN,FALSE,NA
RJ,Phylloderma stenops,NA,Phylloderma stenops,VU,FALSE,NA
SP,Phylloderma stenops,NA,Phylloderma stenops,CR,FALSE,NA
Brasil,Phyllodytes gyrinaethes,NA,Phyllodytes gyrinaethes,CR,FALSE,NA
RJ,Phyllogorgia dilatata,NA,Phyllogorgia dilatata,VU,FALSE,NA
MG,Phyllomedusa ayeaye,NA,Phyllomedusa ayeaye,CR,FALSE,NA
BA,Phyllomyias griseocapilla,NA,Phyllomyias griseocapilla,EN,FALSE,NA
Brasil,Phyllomys brasiliensis,NA,Phyllomys brasiliensis,EN,FALSE,NA
MG,Phyllomys brasiliensis,NA,Phyllomys brasiliensis,EN,FALSE,NA
BA,Phyllomys lamarum,NA,Phyllomys lamarum,CR,FALSE,NA
Brasil,Phyllomys lundi,NA,Phyllomys lundi,EN,FALSE,NA
MG,Phyllomys lundi,NA,Phyllomys lundi,EN,FALSE,NA
SP,Phyllomys pattoni,NA,Phyllomys pattoni,VU,FALSE,NA
Brasil,Phyllomys thomasi,NA,Phyllomys thomasi,EN,FALSE,NA
SP,Phyllomys thomasi,NA,Phyllomys thomasi,EN,FALSE,NA
BA,Phyllomys unicolor,NA,Phyllomys unicolor,CR(PEX),FALSE,NA
Brasil,Phyllomys unicolor,NA,Phyllomys unicolor,CR,FALSE,NA
BA,Phylloscartes beckeri,NA,Phylloscartes beckeri,EN,FALSE,NA
Brasil,Phylloscartes beckeri,NA,Phylloscartes beckeri,EN,FALSE,NA
MG,Phylloscartes beckeri,NA,Phylloscartes beckeri,EN,FALSE,NA
Brasil,Phylloscartes ceciliae,NA,Phylloscartes ceciliae,CR,FALSE,NA
SC,Phylloscartes difficilis,NA,Phylloscartes difficilis,EN,FALSE,NA
SC,Phylloscartes eximius,NA,Phylloscartes eximius,CR,FALSE,NA
SP,Phylloscartes eximius,NA,Phylloscartes eximius,EN,FALSE,NA
SP,Phylloscartes kronei,NA,Phylloscartes kronei,VU,FALSE,NA
RJ,Phylloscartes oustaleti,NA,Phylloscartes oustaleti,VU,FALSE,NA
SC,Phylloscartes oustaleti,NA,Phylloscartes oustaleti,VU,FALSE,NA
SP,Phylloscartes paulista,NA,Phylloscartes paulista,VU,FALSE,NA
BA,Phylloscartes roquettei,NA,Phylloscartes roquettei,EN,FALSE,NA
Brasil,Phylloscartes roquettei,NA,Phylloscartes roquettei,EN,FALSE,NA
MG,Phylloscartes roquettei,NA,Phylloscartes roquettei,EN,FALSE,NA
MG,Phylloscartes sylviolus,NA,Phylloscartes sylviolus,EN,FALSE,NA
RJ,Phylloscartes sylviolus,NA,Phylloscartes sylviolus,VU,FALSE,NA
SC,Phylloscartes sylviolus,NA,Phylloscartes sylviolus,EN,FALSE,NA
Brasil,Physalaemus caete,NA,Physalaemus caete,EN,FALSE,NA
Brasil,Physalaemus maximus,NA,Physalaemus maximus,VU,FALSE,NA
Brasil,Physalaemus soaresi,NA,Physalaemus soaresi,CR,FALSE,NA
BA,Physeter macrocephalus,NA,Physeter macrocephalus,VU,FALSE,NA
Brasil,Physeter macrocephalus,NA,Physeter macrocephalus,VU,FALSE,NA
ES,Physeter macrocephalus,NA,Physeter macrocephalus,VU,FALSE,NA
PA,Physeter macrocephalus,NA,Physeter macrocephalus,VU,FALSE,NA
SC,Physeter macrocephalus,NA,Physeter macrocephalus,VU,FALSE,NA
PA,Piculus chrysochloros,paraensis,Piculus chrysochloros paraensis,VU,TRUE,NA
RJ,Piculus chrysochlorus,NA,Piculus chrysochlorus,EW,FALSE,NA
SC,Piculus flavigula,NA,Piculus flavigula,VU,FALSE,NA
Brasil,Piculus paraensis,NA,Piculus paraensis,EN,FALSE,NA
Brasil,Piculus polyzonu,NA,Piculus polyzonu,EN,FALSE,NA
Brasil,Picumnus varzeae,NA,Picumnus varzeae,EN,FALSE,NA
SP,Pimelodella kronei,NA,Pimelodella kronei,EN,FALSE,NA
ES,Pionopsitta pileata,NA,Pionopsitta pileata,VU,FALSE,NA
MG,Pionopsitta pileata,NA,Pionopsitta pileata,EN,FALSE,NA
ES,Pionus menstruus,NA,Pionus menstruus,VU,FALSE,NA
BA,Pionus reichenowi,NA,Pionus reichenowi,VU,FALSE,NA
Brasil,Pionus reichenowi,NA,Pionus reichenowi,VU,FALSE,NA
RJ,Pipile jacutinga,NA,Pipile jacutinga,EW,FALSE,NA
SP,Pipra fasciicauda,scarlatina,Pipra fasciicauda scarlatina,VU,TRUE,NA
RJ,Pipra pipra,NA,Pipra pipra,VU,FALSE,NA
RJ,Pipra rubrocapilla,NA,Pipra rubrocapilla,VU,FALSE,NA
Brasil,Piprites chloris,grisescens,Piprites chloris grisescens,VU,TRUE,NA
MG,Piprites chloris,NA,Piprites chloris,VU,FALSE,NA
PA,Piprites chloris,grisescens,Piprites chloris grisescens,VU,TRUE,Piprites chloris griseicens
MG,Piprites pileata,NA,Piprites pileata,EN,FALSE,Piprites pileatus
SC,Piprites pileata,NA,Piprites pileata,EN,FALSE,Piprites pileatus
RJ,Piprites pileata,NA,Piprites pileata,VU,FALSE,Piprites pileatus
Brasil,Placosoma cipoense,NA,Placosoma cipoense,EN,FALSE,NA
MG,Placosoma cipoense,NA,Placosoma cipoense,VU,FALSE,NA
SC,Plagiobrissus grandis,NA,Plagiobrissus grandis,VU,FALSE,NA
MG,Platalea ajaja,NA,Platalea ajaja,VU,FALSE,NA
RJ,Platynectes undecimguttatus,NA,Platynectes undecimguttatus,VU,FALSE,NA
BA,Platyrinchus leucoryphus,NA,Platyrinchus leucoryphus,EN,FALSE,NA
ES,Platyrinchus leucoryphus,NA,Platyrinchus leucoryphus,VU,FALSE,NA
RJ,Platyrinchus leucoryphus,NA,Platyrinchus leucoryphus,VU,FALSE,NA
SC,Platyrinchus leucoryphus,NA,Platyrinchus leucoryphus,VU,FALSE,NA
SP,Platyrinchus leucoryphus,NA,Platyrinchus leucoryphus,VU,FALSE,NA
Brasil,Platyrinchus mystaceus,niveigularis,Platyrinchus mystaceus niveigularis,VU,TRUE,NA
SP,Platyrrhinus incarum,NA,Platyrrhinus incarum,VU,FALSE,NA
RJ,Platyrrhinus recifinus,NA,Platyrrhinus recifinus,VU,FALSE,NA
SP,Pogonias cromis,NA,Pogonias cromis,CR,FALSE,NA
MG,Pogonopoma parahybae,NA,Pogonopoma parahybae,CR,FALSE,NA
SP,Pogonopoma parahybae,NA,Pogonopoma parahybae,CR,FALSE,NA
RJ,Pogonoponoides parahybae,NA,Pogonoponoides parahybae,VU,FALSE,NA
RJ,Polioptila lactea,NA,Polioptila lactea,EW,FALSE,NA
SC,Polioptila lactea,NA,Polioptila lactea,VU,FALSE,NA
SP,Polistes deceptor,deceptor,Polistes deceptor deceptor,VU,TRUE,NA
SP,Polistes niger,niger,Polistes niger niger,VU,TRUE,NA
SP,Polistes notatipes,notatipes,Polistes notatipes notatipes,CR,TRUE,NA
SP,Polistes thoracicus,thoracicus,Polistes thoracicus thoracicus,CR,TRUE,NA
SP,Polybia catillifex,catillifex,Polybia catillifex catillifex,EN,TRUE,NA
SP,Polycentropus galharada,NA,Polycentropus galharada,VU,FALSE,NA
SP,Polygrapha suprema,NA,Polygrapha suprema,EN,FALSE,NA
SP,Polyplectropus matatlanticus,NA,Polyplectropus matatlanticus,VU,FALSE,NA
SC,Polyprion americanus,NA,Polyprion americanus,CR,FALSE,NA
SP,Polyprion americanus,NA,Polyprion americanus,CR,FALSE,NA
SC,Polystictus pectoralis,NA,Polystictus pectoralis,CR,FALSE,NA
SP,Polystictus pectoralis,pectoralis,Polystictus pectoralis pectoralis,CR,TRUE,NA
BA,Polystictus superciliaris,NA,Polystictus superciliaris,VU,FALSE,NA
RJ,Pomacea sordida,NA,Pomacea sordida,EN,FALSE,NA
Brasil,Pontoporia blainvillei,NA,Pontoporia blainvillei,CR,FALSE,NA
ES,Pontoporia blainvillei,NA,Pontoporia blainvillei,EN,FALSE,NA
RJ,Pontoporia blainvillei,NA,Pontoporia blainvillei,VU,FALSE,NA
SC,Pontoporia blainvillei,NA,Pontoporia blainvillei,VU,FALSE,NA
SP,Pontoporia blainvillei,NA,Pontoporia blainvillei,EN,FALSE,NA
ES,Popelairia langsdorffi,NA,Popelairia langsdorffi,CR,FALSE,NA
SP,Porphyriops melanops,melanops,Porphyriops melanops melanops,EN,TRUE,NA
RJ,Porphyromma speciosa,NA,Porphyromma speciosa,EN,FALSE,NA
Brasil,Porzana spiloptera,NA,Porzana spiloptera,EN,FALSE,NA
ES,Potamarius grandoculis,NA,Potamarius grandoculis,VU,FALSE,NA
PA,Potamobatrachus trispinosus,NA,Potamobatrachus trispinosus,VU,FALSE,NA
SP,Potamolithus troglobius,NA,Potamolithus troglobius,VU,FALSE,NA
RJ,Potimirim glabra,NA,Potimirim glabra,VU,FALSE,NA
RJ,Potimirim potimirim,NA,Potimirim potimirim,VU,FALSE,NA
MG,Potos flavus,NA,Potos flavus,EN,FALSE,NA
SP,Prepona deiphile,NA,Prepona deiphile,VU,FALSE,NA
SC,Primolius maracana,NA,Primolius maracana,CR,FALSE,NA
SP,Primolius maracana,NA,Primolius maracana,VU,FALSE,NA
BA,Priodontes maximus,NA,Priodontes maximus,EN,FALSE,NA
Brasil,Priodontes maximus,NA,Priodontes maximus,VU,FALSE,NA
ES,Priodontes maximus,NA,Priodontes maximus,CR,FALSE,NA
MG,Priodontes maximus,NA,Priodontes maximus,EN,FALSE,NA
PA,Priodontes maximus,NA,Priodontes maximus,VU,FALSE,NA
RJ,Priodontes maximus,NA,Priodontes maximus,CR,FALSE,NA
PA,Prionace glauca,NA,Prionace glauca,VU,FALSE,NA
PA,Prisits perotteti,NA,Prisits perotteti,CR,FALSE,NA
PA,Pristis pectinata,NA,Pristis pectinata,CR,FALSE,NA
RJ,Pristis pectinata,NA,Pristis pectinata,VU,FALSE,NA
SP,Pristis pectinata,NA,Pristis pectinata,EW,FALSE,NA
RJ,Pristis perotteti,NA,Pristis perotteti,VU,FALSE,NA
SP,Pristis perotteti,NA,Pristis perotteti,EW,FALSE,NA
Brasil,Procellaria aequinoctialis,NA,Procellaria aequinoctialis,VU,FALSE,NA
SC,Procellaria aequinoctialis,NA,Procellaria aequinoctialis,VU,FALSE,NA
Brasil,Procellaria conspicillata,NA,Procellaria conspicillata,VU,FALSE,NA
SC,Procellaria conspicillata,NA,Procellaria conspicillata,VU,FALSE,NA
BA,Procellosaurinus erythrocercus,NA,Procellosaurinus erythrocercus,VU,FALSE,NA
BA,Procellosaurinus tetradactylus,NA,Procellosaurinus tetradactylus,EN,FALSE,NA
Brasil,Procellosaurinus tetradactylus,NA,Procellosaurinus tetradactylus,EN,FALSE,NA
Brasil,Proceratophrys moratoi,NA,Proceratophrys moratoi,EN,FALSE,NA
Brasil,Proceratophrys palustris,NA,Proceratophrys palustris,CR,FALSE,NA
MG,Proceratophrys palustris,NA,Proceratophrys palustris,VU,FALSE,NA
Brasil,Proceratophrys sanctaritae,NA,Proceratophrys sanctaritae,CR,FALSE,NA
ES,Prochilodus vimboides,NA,Prochilodus vimboides,VU,FALSE,NA
SP,Prochilodus vimboides,NA,Prochilodus vimboides,VU,FALSE,NA
Brasil,Procnias albus,wallacei,Procnias albus wallacei,VU,TRUE,NA
BA,Procnias nudicollis,NA,Procnias nudicollis,VU,FALSE,NA
MG,Procnias nudicollis,NA,Procnias nudicollis,EN,FALSE,NA
SP,Progaripus nigrimanus,NA,Progaripus nigrimanus,VU,FALSE,NA
PA,Propyrrhura maracana,NA,Propyrrhura maracana,VU,FALSE,NA
SC,Psammanthus caraguaensis,NA,Psammanthus caraguaensis,CR,FALSE,NA
SP,Psammobatis extenta,NA,Psammobatis extenta,EN,FALSE,NA
SP,Pseudastur polionotus,NA,Pseudastur polionotus,VU,FALSE,Leucopternis polionotus, Leucopternis polionota
 Pseudastur polionotus,,,,,NA,NA
SP,Pseudobatos horkelii,NA,Pseudobatos horkelii,EN,FALSE,NA
SP,Pseudobatos percellens,NA,Pseudobatos percellens,EN,FALSE,NA
PA,Pseudoboa nigra,NA,Pseudoboa nigra,VU,FALSE,NA
SP,Pseudochthonius strinatii,NA,Pseudochthonius strinatii,VU,FALSE,NA
SP,Pseudocorynopoma heterandria,NA,Pseudocorynopoma heterandria,VU,FALSE,NA
PA,Pseudopaludicola canga,NA,Pseudopaludicola canga,EN,FALSE,NA
SC,Pseudoplatystoma corruscans,NA,Pseudoplatystoma corruscans,VU,FALSE,NA
SC,Pseudoplatystoma corruscans,NA,Pseudoplatystoma corruscans,VU,FALSE,NA
SP,Pseudoryzomys simplex,NA,Pseudoryzomys simplex,VU,FALSE,NA
Brasil,Pseudoseisura lophotes,NA,Pseudoseisura lophotes,VU,FALSE,NA
SP,Pseudotocinclus juquiae,NA,Pseudotocinclus juquiae,CR,FALSE,NA
SP,Pseudotocinclus parahybae,NA,Pseudotocinclus parahybae,CR,FALSE,NA
SP,Pseudotocinclus tietensis,NA,Pseudotocinclus tietensis,EN,FALSE,NA
BA,Psilophthalmus paeminosus,NA,Psilophthalmus paeminosus,EN,FALSE,NA
Brasil,Psophia dextralis,NA,Psophia dextralis,VU,FALSE,NA
Brasil,Psophia interjecta,NA,Psophia interjecta,VU,FALSE,NA
Brasil,Psophia obscura,NA,Psophia obscura,CR,FALSE,NA
PA,Psophia obscura,NA,Psophia obscura,EN,FALSE,NA
Brasil,Pterodroma arminjoniana,NA,Pterodroma arminjoniana,CR,FALSE,NA
ES,Pterodroma arminjoniana,NA,Pterodroma arminjoniana,EN,FALSE,NA
Brasil,Pterodroma deserta,NA,Pterodroma deserta,CR,FALSE,NA
BA,Pterodroma incerta,NA,Pterodroma incerta,VU,FALSE,NA
Brasil,Pterodroma incerta,NA,Pterodroma incerta,EN,FALSE,NA
SC,Pterodroma incerta,NA,Pterodroma incerta,EN,FALSE,NA
Brasil,Pterodroma madeira,NA,Pterodroma madeira,EN,FALSE,NA
RJ,Pteroglossus aracari,NA,Pteroglossus aracari,VU,FALSE,NA
SC,Pteroglossus aracari,NA,Pteroglossus aracari,CR,FALSE,NA
SP,Pteroglossus aracari,wiedii,Pteroglossus aracari wiedii,CR,TRUE,NA
BA,Pteroglossus bailloni,NA,Pteroglossus bailloni,VU,FALSE,NA
MG,Pteroglossus bailloni,NA,Pteroglossus bailloni,VU,FALSE,NA
SP,Pteroglossus bailloni,NA,Pteroglossus bailloni,VU,FALSE,NA
Brasil,Pteroglossus bitorquatus,bitorquatus,Pteroglossus bitorquatus bitorquatus,VU,TRUE,NA
PA,Pteroglossus bitorquatus,bitorquatus,Pteroglossus bitorquatus bitorquatus,VU,TRUE,NA
MG,Pteroglossus castanotis,NA,Pteroglossus castanotis,EN,FALSE,NA
SC,Pteroglossus castanotis,NA,Pteroglossus castanotis,CR,FALSE,NA
SP,Pteroglossus castanotis,australis,Pteroglossus castanotis australis,VU,TRUE,NA
Brasil,Pteronura brasiliensis,NA,Pteronura brasiliensis,VU,FALSE,NA
MG,Pteronura brasiliensis,NA,Pteronura brasiliensis,EW,FALSE,NA
PA,Pteronura brasiliensis,NA,Pteronura brasiliensis,VU,FALSE,NA
RJ,Pteronura brasiliensis,NA,Pteronura brasiliensis,EW,FALSE,NA
SP,Pteronura brasiliensis,NA,Pteronura brasiliensis,EW,FALSE,NA
PA,Pterourus xanthopleura,NA,Pterourus xanthopleura,VU,FALSE,NA
Brasil,Puffinus lherminieri,NA,Puffinus lherminieri,CR,FALSE,NA
ES,Puffinus lherminieri,NA,Puffinus lherminieri,CR,FALSE,NA
Brasil,Pulsatrix perspicillata,pulsatrix,Pulsatrix perspicillata pulsatrix,VU,TRUE,NA
SP,Pulsatrix perspicillata,perspicillata,Pulsatrix perspicillata perspicillata,CR,TRUE,NA
SP,Pulsatrix perspicillata,pulsatrix,Pulsatrix perspicillata pulsatrix,EW,TRUE,NA
BA,Puma concolor,NA,Puma concolor,VU,FALSE,NA
Brasil,Puma concolor,NA,Puma concolor,VU,FALSE,NA
ES,Puma concolor,NA,Puma concolor,EN,FALSE,NA
MG,Puma concolor,NA,Puma concolor,VU,FALSE,NA
PA,Puma concolor,NA,Puma concolor,VU,FALSE,NA
SC,Puma concolor,NA,Puma concolor,VU,FALSE,NA
SP,Puma concolor,NA,Puma concolor,VU,FALSE,NA
BA,Herpailurus yagouaroundi,NA,Herpailurus yagouaroundi,VU,FALSE,Puma yagouaroundi
Brasil,Herpailurus yagouaroundi,NA,Herpailurus yagouaroundi,VU,FALSE,Puma yagouaroundi
BA,Pyriglena atra,NA,Pyriglena atra,EN,FALSE,NA
Brasil,Pyriglena atra,NA,Pyriglena atra,EN,FALSE,NA
Brasil,Pyriglena pernambucensis,NA,Pyriglena pernambucensis,VU,FALSE,NA
Brasil,Pyrilia vulturina,NA,Pyrilia vulturina,VU,FALSE,NA
BA,Pyroderus scutatus,NA,Pyroderus scutatus,EN,FALSE,NA
RJ,Pyroderus scutatus,NA,Pyroderus scutatus,VU,FALSE,NA
SC,Pyroderus scutatus,NA,Pyroderus scutatus,EN,FALSE,NA
BA,Pyrrhura cruentata,NA,Pyrrhura cruentata,VU,FALSE,NA
Brasil,Pyrrhura cruentata,NA,Pyrrhura cruentata,VU,FALSE,NA
ES,Pyrrhura cruentata,NA,Pyrrhura cruentata,EN,FALSE,NA
MG,Pyrrhura cruentata,NA,Pyrrhura cruentata,CR,FALSE,NA
RJ,Pyrrhura cruentata,NA,Pyrrhura cruentata,EN,FALSE,NA
Brasil,Pyrrhura griseipectus,NA,Pyrrhura griseipectus,EN,FALSE,NA
Brasil,Pyrrhura lepida,NA,Pyrrhura lepida,VU,FALSE,NA
Brasil,Pyrrhura lepida,lepida,Pyrrhura lepida lepida,VU,TRUE,NA
BA,Pyrrhura leucotis,NA,Pyrrhura leucotis,EN,FALSE,NA
Brasil,Pyrrhura leucotis,NA,Pyrrhura leucotis,VU,FALSE,NA
ES,Pyrrhura leucotis,NA,Pyrrhura leucotis,EN,FALSE,NA
MG,Pyrrhura leucotis,NA,Pyrrhura leucotis,CR,FALSE,NA
RJ,Pyrrhura leucotis,NA,Pyrrhura leucotis,VU,FALSE,NA
PA,Pyrrhura perlata,lepida,Pyrrhura perlata lepida,EN,TRUE,NA
Brasil,Pyrrhura pfrimeri,NA,Pyrrhura pfrimeri,EN,FALSE,NA
SC,Rachoviscus crassiceps,NA,Rachoviscus crassiceps,CR,FALSE,NA
SP,Rachoviscus crassiceps,NA,Rachoviscus crassiceps,CR,FALSE,NA
ES,Rachoviscus graciliceps,NA,Rachoviscus graciliceps,CR,FALSE,NA
SC,Rallus longirostris,NA,Rallus longirostris,VU,FALSE,NA
SP,Rallus longirostris,crassirostris,Rallus longirostris crassirostris,VU,TRUE,NA
RJ,Ramphocaenus melanurus,NA,Ramphocaenus melanurus,VU,FALSE,NA
SC,Ramphocelus bresilius,NA,Ramphocelus bresilius,VU,FALSE,NA
ES,Ramphodon naevius,NA,Ramphodon naevius,EN,FALSE,NA
ES,Ranacephala hogei,NA,Ranacephala hogei,EN,FALSE,NA
SP,Remartinia restricta,NA,Remartinia restricta,EN,FALSE,NA
RJ,Rhagomys rufescens,NA,Rhagomys rufescens,EW,FALSE,NA
MG,Rhamdiopsis microcephala,NA,Rhamdiopsis microcephala,VU,FALSE,NA
SC,Rhamdiopsis moreirai,NA,Rhamdiopsis moreirai,VU,FALSE,NA
SC,Rhamdiopsis moreirai,NA,Rhamdiopsis moreirai,VU,FALSE,NA
MG,Rhamphophryne proboscidea,NA,Rhamphophryne proboscidea,VU,FALSE,NA
SP,Rhea americana,americana,Rhea americana americana,CR,TRUE,NA
Brasil,Rhegmatorhina gymnops,NA,Rhegmatorhina gymnops,VU,FALSE,NA
ES,Rhincodon typus,NA,Rhincodon typus,VU,FALSE,NA
PA,Rhincodon typus,NA,Rhincodon typus,EN,FALSE,NA
SP,Rhincodon typus,NA,Rhincodon typus,VU,FALSE,NA
RJ,Rhinelepis aspera,NA,Rhinelepis aspera,VU,FALSE,NA
PA,Rhinella ocellata,NA,Rhinella ocellata,VU,FALSE,NA
SC,Rhinobatos horkelii,NA,Rhinobatos horkelii,CR,FALSE,NA
RJ,Rhinobatus horkelii,NA,Rhinobatus horkelii,VU,FALSE,NA
RJ,Rhinocricus padbergi,NA,Rhinocricus padbergi,VU,FALSE,NA
MG,Rhinodrilus fafner,NA,Rhinodrilus fafner,CR,FALSE,NA
SP,Rhinoptera bonasus,NA,Rhinoptera bonasus,EN,FALSE,NA
SP,Rhinoptera brasiliensis,NA,Rhinoptera brasiliensis,EN,FALSE,NA
MG,Rhionaeshna eduardoi,NA,Rhionaeshna eduardoi,VU,FALSE,NA
BA,Rhipidomys cariri,NA,Rhipidomys cariri,VU,FALSE,NA
Brasil,Rhipidomys cariri,NA,Rhipidomys cariri,VU,FALSE,NA
Brasil,Rhipidomys tribei,NA,Rhipidomys tribei,EN,FALSE,NA
SP,Rhodax evelinae,NA,Rhodax evelinae,VU,FALSE,NA
BA,Rhopias gularis,NA,Rhopias gularis,EN,FALSE,NA
BA,Rhopornis ardesiacus,NA,Rhopornis ardesiacus,EN,FALSE,NA
Brasil,Rhopornis ardesiacus,NA,Rhopornis ardesiacus,EN,FALSE,NA
MG,Rhopornis ardesiacus,NA,Rhopornis ardesiacus,CR,FALSE,NA
ES,Rhynchocyclus olivaceus,NA,Rhynchocyclus olivaceus,VU,FALSE,NA
MG,Rhynchocyclus olivaceus,NA,Rhynchocyclus olivaceus,EN,FALSE,NA
RJ,Rhynchocyclus olivaceus,NA,Rhynchocyclus olivaceus,VU,FALSE,NA
SP,Rhynchodemus piptus,NA,Rhynchodemus piptus,VU,FALSE,NA
SP,Rhynchodemus schubarti,NA,Rhynchodemus schubarti,VU,FALSE,NA
MG,Rhytipterna simplex,NA,Rhytipterna simplex,VU,FALSE,NA
SP,Rioraja agassizii,NA,Rioraja agassizii,EN,FALSE,NA
SC,Rivulus haraldsiolii,NA,Rivulus haraldsiolii,VU,FALSE,NA
SC,Rivulus haraldsiolii,NA,Rivulus haraldsiolii,VU,FALSE,NA
SC,Rivulus luelingi,NA,Rivulus luelingi,VU,FALSE,NA
SC,Rivulus luelingi,NA,Rivulus luelingi,VU,FALSE,NA
ES,Rivulus nudiventris,NA,Rivulus nudiventris,VU,FALSE,NA
BA,Rodriguesophis chui,NA,Rodriguesophis chui,EN,FALSE,NA
Brasil,Rodriguesophis chui,NA,Rodriguesophis chui,EN,FALSE,NA
BA,Rodriguesophis scriptorcibatus,NA,Rodriguesophis scriptorcibatus,EN,FALSE,NA
Brasil,Rodriguesophis scriptorcibatus,NA,Rodriguesophis scriptorcibatus,EN,FALSE,NA
PA,Rubrepeira rubronigra,NA,Rubrepeira rubronigra,VU,FALSE,NA
SP,Saccopteryx leptura,NA,Saccopteryx leptura,EN,FALSE,NA
Brasil,Saguinus bicolor,NA,Saguinus bicolor,CR,FALSE,NA
Brasil,Saguinus niger,NA,Saguinus niger,VU,FALSE,NA
Brasil,Saimiri vanzolinii,NA,Saimiri vanzolinii,VU,FALSE,NA
PA,Sakesphorus luctuosus,araguayae,Sakesphorus luctuosus araguayae,VU,TRUE,NA
SC,Salminus brasiliensis,NA,Salminus brasiliensis,VU,FALSE,NA
SC,Salminus brasiliensis,NA,Salminus brasiliensis,VU,FALSE,NA
SC,Saltator fuliginosus,NA,Saltator fuliginosus,VU,FALSE,NA
PA,Salvator merianae,NA,Salvator merianae,VU,FALSE,NA
Brasil,Sapajus cay,NA,Sapajus cay,VU,FALSE,NA
Brasil,Sapajus flavius,NA,Sapajus flavius,EN,FALSE,NA
BA,Sapajus robustus,NA,Sapajus robustus,EN,FALSE,Cebus robustus
Brasil,Sapajus robustus,NA,Sapajus robustus,EN,FALSE,Cebus robustus
BA,Sapajus xanthosternos,NA,Sapajus xanthosternos,EN,FALSE,Cebus xanthosternos
Brasil,Sapajus xanthosternos,NA,Sapajus xanthosternos,EN,FALSE,Cebus xanthosternos
ES,Sarcoramphus papa,NA,Sarcoramphus papa,VU,FALSE,NA
RJ,Sarcoramphus papa,NA,Sarcoramphus papa,VU,FALSE,NA
RJ,Sardinella brasiliensis,NA,Sardinella brasiliensis,VU,FALSE,NA
RJ,Sarkidiornis melanotos,NA,Sarkidiornis melanotos,EN,FALSE,NA
SP,Sarkidiornis sylvicola,NA,Sarkidiornis sylvicola,VU,FALSE,NA
PA,Sartor tucuruiense,NA,Sartor tucuruiense,CR,FALSE,NA
SP,Scada karschina,karschina,Scada karschina karschina,EN,TRUE,NA
SP,Scarus guacamaia,NA,Scarus guacamaia,EW,FALSE,NA
SP,Scarus trispinosus,NA,Scarus trispinosus,EN,FALSE,NA
SP,Scarus zelindae,NA,Scarus zelindae,EN,FALSE,NA
Brasil,Schiffornis turdina,intermedia,Schiffornis turdina intermedia,VU,TRUE,NA
ES,Schiffornis turdina,NA,Schiffornis turdina,VU,FALSE,NA
MG,Schiffornis turdina,NA,Schiffornis turdina,VU,FALSE,NA
RJ,Schistochlamys melanopis,NA,Schistochlamys melanopis,EW,FALSE,NA
PA,Schroederichthys tenuis,NA,Schroederichthys tenuis,VU,FALSE,NA
Brasil,Scinax alcatraz,NA,Scinax alcatraz,CR,FALSE,NA
MG,Scinax caldarum,NA,Scinax caldarum,VU,FALSE,NA
Brasil,Scinax duartei,NA,Scinax duartei,VU,FALSE,NA
Brasil,Scinax faivovichi,NA,Scinax faivovichi,VU,FALSE,NA
Brasil,Scinax peixotoi,NA,Scinax peixotoi,CR,FALSE,NA
MG,Scinax ranki,NA,Scinax ranki,VU,FALSE,NA
SC,Scleromystax macropterus,NA,Scleromystax macropterus,CR,FALSE,NA
SP,Scleromystax macropterus,NA,Scleromystax macropterus,EN,FALSE,NA
BA,Sclerurus caudacutus,NA,Sclerurus caudacutus,EN,FALSE,NA
Brasil,Sclerurus caudacutus,caligineus,Sclerurus caudacutus caligineus,CR,TRUE,NA
Brasil,Sclerurus caudacutus,umbretta,Sclerurus caudacutus umbretta,CR,TRUE,NA
ES,Sclerurus caudacutus,NA,Sclerurus caudacutus,CR,FALSE,NA
BA,Sclerurus cearensis,NA,Sclerurus cearensis,EN,FALSE,NA
Brasil,Sclerurus cearensis,NA,Sclerurus cearensis,VU,FALSE,NA
